cd_mun,nm_mun,qtd_criancas,qtd_criancas_pct,qtd_adolescentes,qtd_adolescentes_pct,qtd_idosos,qtd_idosos_pct,renda_media_responsavel
2904605,Brumado,8660,0.12281945823287477,9471,0.1343213728549142,11438,0.16221812508863992,1803.28
2904704,Buerarema,1855,0.12530397189948664,2184,0.14752769521750878,3067,0.20717373682788437,1461.3
2904753,Buritirama,3082,0.15733319720251163,3450,0.17611925059982644,2541,0.12971565674613303,1111.31
2904803,Caatiba,719,0.11587429492344883,926,0.1492344883158743,1142,0.18404512489927477,1280.63
2904852,Cabaceiras do Paraguaçu,2423,0.14632526118726977,2992,0.18068723956760674,2264,0.13672323207923184,1182.57
2904902,Cachoeira,3681,0.12584615384615386,4241,0.144991452991453,4677,0.1598974358974359,1478.69
2905008,Caculé,2807,0.12496661027513133,2866,0.12759326863146647,4138,0.18422224200872586,1608.09
2905107,Caém,1398,0.13463020030816641,1763,0.1697804314329738,1739,0.16746918335901387,1273.28
2905156,Caetanos,1322,0.11734422155157109,1682,0.14929877507544825,2126,0.18870939108823007,1132.6
2905206,Caetité,6481,0.1246058601861109,7274,0.13985234176728448,8623,0.1657886641544259,1820.98
2905305,Cafarnaum,2532,0.1449673651666094,2985,0.17090346959807626,2374,0.13592121836711324,1105.55
2905404,Cairu,2778,0.15641011204324082,2690,0.15145543606778897,1707,0.09610945329654862,1669.14
2905503,Caldeirão Grande,1896,0.14495412844036698,2178,0.1665137614678899,2029,0.1551223241590214,1097.31
2905602,Camacan,3156,0.13977589795827983,3782,0.1675007750564684,4014,0.17777580938039772,1560.02
2905701,Camaçari,42397,0.14114830942964057,43899,0.14614877551835723,32646,0.10868523031441013,2332.1
2905800,Camamu,5036,0.16528274639797827,5556,0.1823492730316059,4214,0.13830450621943616,1255.85
2905909,Campo Alegre de Lourdes,4973,0.16214013237259953,4978,0.16230315281536303,4697,0.15314140393205308,1192.86
2906006,Campo Formoso,10316,0.14452834946831614,11313,0.15849643442565534,10093,0.1414040937556916,1306.83
2906105,Canápolis,1443,0.1411246943765281,1697,0.16596577017114914,1692,0.1654767726161369,1146.66
2906204,Canarana,3422,0.14136990828720153,4018,0.1659919028340081,3618,0.14946707427910436,1185.73
2906303,Canavieiras,4607,0.14096013217880857,4829,0.14775265428510234,5607,0.17155707860355537,1511.12
2906402,Candeal,935,0.12030365414307771,1059,0.13625836335563563,1545,0.1987905301080803,1171.63
2906501,Candeias,9251,0.1278080185681523,10476,0.14473211571937775,10005,0.13822497305960046,1761.29
2906600,Candiba,1456,0.11186232329440689,1781,0.1368315918869084,2756,0.21173939766441302,1352.15
2906709,Cândido Sales,3180,0.1259555590763259,3993,0.15815740484017904,4514,0.17879352002218085,1282.53
2906808,Cansanção,5077,0.13560725446726676,6068,0.16207697855177755,5556,0.14840139961003232,1146.77
2906824,Canudos,2413,0.1498292455759081,2633,0.16348959950325986,2421,0.15032598571872088,1300.5
2906857,Capela do Alto Alegre,1198,0.11150409530900968,1370,0.12751303052866717,2344,0.21816827997021593,1279.52
2906873,Capim Grosso,4715,0.14186851211072665,5200,0.15646156160673988,4760,0.1432225063938619,1477.26
2906899,Caraíbas,1117,0.11237424547283702,1400,0.14084507042253522,2321,0.2335010060362173,1213.37
2906907,Caravelas,2910,0.141399416909621,3422,0.1662779397473275,3244,0.1576287657920311,1595.95
2907004,Cardeal da Silva,1292,0.1544530783024507,1477,0.17656903765690377,977,0.1167961745367603,1105.61
2907103,Carinhanha,4371,0.1514080847968409,5117,0.17724895216322006,3935,0.1363053794727909,1210.7
2907202,Casa Nova,10965,0.152109979746414,12214,0.16943650639513913,9516,0.13200898926282495,1270.61
2907301,Castro Alves,3070,0.12423114276464875,3656,0.14794431854969245,4004,0.16202654580770476,1384.51
2907400,Catolândia,518,0.15084449621432733,496,0.1444379732090856,643,0.18724519510774607,1251.66
2907509,Catu,5650,0.11734651491235358,6825,0.14175043615518818,7522,0.1562266345434909,1701.1
2907558,Caturama,1011,0.11435357991177468,1197,0.13539192399049882,1803,0.20393620631150322,1211.54
2907608,Central,2098,0.12833374113041351,2598,0.15891852214338145,2903,0.1775752385612919,1279.79
2907707,Chorrochó,1607,0.15190471689195575,1752,0.16561111636260517,1587,0.15001417903393516,1218.51
2907806,Cícero Dantas,3379,0.10932798395185557,4217,0.136441582812955,5844,0.18908337916976736,1311.91
2907905,Cipó,2562,0.14869413813116658,2762,0.16030179918746373,2410,0.13987231572838074,1353.24
2908002,Coaraci,2075,0.11971384065078175,2543,0.1467143598915364,3872,0.2233889113252178,1350.33
2908101,Cocos,2590,0.13524097958331158,2932,0.15309905487964076,3226,0.1684507336431518,1310.42
2908200,Conceição da Feira,2643,0.1270673076923077,3223,0.15495192307692307,2965,0.14254807692307692,1333.6
2908309,Conceição do Almeida,1653,0.10465999746739268,2110,0.1335950360896543,2927,0.18532354058503228,1368.27
2908408,Conceição do Coité,9383,0.13834131957242904,10279,0.15155178768890526,10032,0.1479100626612606,1458.03
2908507,Conceição do Jacuípe,4444,0.12586382689475473,5067,0.14350855330236773,4931,0.13965673501755976,1568.51
2908606,Conde,3713,0.15697133677179334,4095,0.173120825230405,3051,0.12898452692990614,1238.19
2908705,Condeúba,1979,0.11604996188353955,2299,0.13481498856506186,3651,0.21409722629449363,1347.64
2908804,Contendas do Sincorá,506,0.11677821370874683,632,0.14585737364412646,871,0.20101546272790213,1341.51
2908903,Coração de Maria,3270,0.12250861681402668,3876,0.14521204855387382,4095,0.15341675408362057,1314.91
2909000,Cordeiros,857,0.11357010336602173,959,0.12708719851576994,1661,0.22011661807580174,1348.33
2909109,Coribe,1665,0.11901358112937813,2075,0.14832022873481057,2738,0.19571122230164403,1330.87
2909208,Coronel João Sá,2207,0.12939727954971858,2749,0.1611749530956848,2471,0.14487570356472795,1193.98
2909307,Correntina,4410,0.13587207690174694,4989,0.15371106386911915,5109,0.15740826324059526,1643.85
2909406,Cotegipe,1861,0.14246344637525837,2141,0.16389803261119193,2124,0.16259664701829596,1272.94
2909505,Cravolândia,531,0.1202718006795017,683,0.15469988674971688,826,0.1870894677236693,1206.32
2909604,Crisópolis,2670,0.13533377261898727,3069,0.15555780830249885,3234,0.16392113132951494,1032.22
2909703,Cristópolis,1870,0.1336382476952762,2104,0.1503608947330808,2268,0.16208104052026012,1279.87
2909802,Cruz das Almas,7156,0.11857890899449858,8326,0.13796646119175449,9282,0.15380791409823028,1945.96
2909901,Curaçá,5332,0.15599765944997074,5711,0.1670860152135752,4526,0.13241661790520773,1237.34
2910008,Dário Meira,1501,0.13872458410351202,1810,0.16728280961182995,1930,0.17837338262476896,1226.61
2910057,Dias d'Ávila,10200,0.1426872770511296,11192,0.15656431419178848,8492,0.11879415261943065,1660.36
2910107,Dom Basílio,1340,0.1127566475934029,1602,0.1348030966004712,2066,0.17384718949848535,1298.17
2910206,Dom Macedo Costa,518,0.11754027683231223,603,0.13682777399591559,757,0.17177218062173816,1294.76
2910305,Elísio Medrado,818,0.10476434426229508,1143,0.14638831967213115,1642,0.21029713114754098,1311.95
2910404,Encruzilhada,2550,0.1334589417490972,3165,0.16564609828858534,3197,0.16732087716543675,1143.27
2910503,Entre Rios,5252,0.13785500551210036,6029,0.1582497768911754,5101,0.13389154286314242,1496.2
2910602,Esplanada,4764,0.14634146341463414,5612,0.17239048964796952,4207,0.12923143085335134,1411.49
